100000,1,15000,1,1,0,2805,1
100000,1,15000,1,1,0,2197,0
100000,1,15000,1,1,0,2250,0
100000,1,15000,2,4,0,1482,1
100000,1,15000,2,4,0,1435,0
100000,1,15000,2,4,0,1485,0
100000,1,15000,4,8,0,1416,0
100000,1,15000,4,8,0,1245,0
100000,1,15000,4,8,0,1087,0
100000,1,15000,8,16,0,1302,0
100000,1,15000,8,16,0,1431,0
100000,1,15000,8,16,0,1608,0
100000,1,15000,12,24,0,1441,0
100000,1,15000,12,24,0,1369,0
100000,1,15000,12,24,0,1329,0
100000,1,40000,1,1,0,7011,0
100000,1,40000,1,1,0,8434,0
100000,1,40000,1,1,0,8399,0
100000,1,40000,2,4,0,5209,0
100000,1,40000,2,4,0,5232,0
100000,1,40000,2,4,0,5119,0
100000,1,40000,4,8,0,4825,0
100000,1,40000,4,8,0,4806,0
100000,1,40000,4,8,0,4638,0
